,index,title,score
0,0,The Mummy: Tomb of the Dragon Emperor,31
1,0,The Incredible Hulk,61
2,0,The Amazing Spider-Man 2,53
3,0,The Dark Knight,84
4,0,The Forbidden Kingdom,57
5,0,Captain America: The First Avenger,66
6,0,Pirates of the Caribbean: On Stranger Tides,45
7,0,Indiana Jones and the Kingdom of the Crystal Skull,65
8,0,The Proposal,48
9,0,X-Men Origins: Wolverine,40
10,0,The Chronicles of Narnia: Prince Caspian,62
11,0,The Curious Case of Benjamin Button,70
12,0,Valkyrie,56
13,0,Scary Movie 5,11
14,0,Leatherheads,56
15,0,Iron Man,79
16,0,The Karate Kid,60
17,0,Changeling,63
18,0,Burn After Reading,63
19,0,27 Dresses,47
20,0,Sex and the City,53
21,0,My Sister's Keeper,51
22,0,Australia,53
23,0,Tropic Thunder,71
24,0,Meet the Spartans,9
25,0,Oh Lucy!,69
26,0,Speed Racer,37
27,0,The Lovely Bones,42
28,0,Untraceable,32
29,0,The Spiderwick Chronicles,62
30,0,Ice Age: Dawn of the Dinosaurs,50
31,0,211,21
32,0,Jumper,35
33,0,10 Cloverfield Lane,76
34,0,The Reader,58
35,0,Baby Mama,55
36,0,Only Yesterday (1991),90
37,0,Vantage Point,40
38,0,Fool's Gold,29
39,0,Transformers: Revenge of the Fallen,35
40,0,The Happening,34
41,0,The Bank Job,69
42,0,Abominable,31
43,0,Forgetting Sarah Marshall,67
44,0,Hancock,49
45,0,Kung Fu Panda,73
46,0,What Happens in Vegas,36
47,0,Wanted,64
48,0,He's Just Not That Into You,47
,,,
50,0,Eyes Wide Shut,68
51,0,Iron Man 2,57
52,0,Toy Story 3,92
53,0,The Chronicles of Narnia: The Voyage of the Dawn Treader,53
54,0,The Brothers Grimsby,44
55,0,The Sisterhood of the Traveling Pants 2,63
56,0,The Last Airbender,20
57,0,Yes Man,46
58,0,The Ides of March,67
59,0,Bedtime Stories,33
60,0,Call Me by Your Name,93
61,0,Twilight,56
62,0,How to Train Your Dragon,75
63,0,Zack and Miri Make a Porno,56
64,0,Prince of Persia: The Sands of Time,50
65,0,Milk,84
66,0,The Princess and the Frog,73
67,0,The Men Who Stare at Goats,54
68,0,Fantastic Four,27
69,0,Bride Wars,24
70,0,Sherlock Holmes,57
71,0,The Tale of Despereaux,53
72,0,Nim's Island,55
73,0,Death Race,43
74,0,Thoroughbreds,75
75,0,No Escape,38
76,0,Madagascar: Escape 2 Africa,61
77,0,Hellboy II: The Golden Army,78
78,0,Quantum of Solace,58
79,0,Shrek Forever After,58
80,0,You Don't Mess with the Zohan,54
81,0,Pineapple Express,64
82,0,Made of Honor,37
83,0,Shutter Island,63
84,0,The Informant!,66
85,0,Seven Pounds,36
86,0,Public Enemies,70
87,0,Space Chimps,36
88,0,High School Musical 3: Senior Year,57
89,0,Get Smart,54
90,0,Journey to the Center of the Earth,57
91,0,Step Brothers,51
92,0,Nobody's Fool,39
93,0,The Green Inferno,38
94,0,Body of Lies,57
95,0,Star Wars: The Clone Wars,35
96,0,Saw V,20
97,0,Nick and Norah's Infinite Playlist,64
98,0,The Strangers: Prey at Night,48
99,0,Slumdog Millionaire,86
100,0,The Love Guru,24
101,0,Four Christmases,41
102,0,Underworld: Rise of the Lycans,44
103,0,The House Bunny,55
104,0,The Secret Life of Bees,57
105,0,Watchmen,56
106,0,Gran Torino,72
107,0,Edge of Darkness,55
