year,title,studio,total_gross,total_theaters,opening_gross,opening_theaters,opening_date
2019,Avengers: Endgame,BV,"$858,373,000",4662,"$357,115,007",4662,4/26
2019,The Lion King (2019),BV,"$541,602,701",4802,"$191,770,759",4725,7/19
2019,Toy Story 4,BV,"$433,400,980",4575,"$120,908,065",4575,6/21
2019,Captain Marvel ,BV,"$426,829,839",4310,"$153,433,423",4310,3/8
2019,Spider-Man: Far from Home,Sony,"$390,361,240",4634,"$92,579,212",4634,7/2
2019,Aladdin (2019),BV,"$355,487,548",4476,"$91,500,929",4476,5/24
2019,It: Chapter Two,WB (NL),"$203,910,424",4570,"$91,062,152",4570,9/6
2019,Us,Uni.,"$175,005,930",3743,"$71,117,625",3741,3/22
2019,Fast & Furious Presents: Hobbs & Shaw,Uni.,"$173,349,350",4344,"$60,038,950",4253,8/2
2019,John Wick: Chapter 3 - Parabellum,LG/S,"$171,015,687",3850,"$56,818,067",3850,5/17
2019,How to Train Your Dragon: The Hidden World,Uni.,"$160,799,505",4286,"$55,022,245",4259,2/22
2019,The Secret Life of Pets 2,Uni.,"$158,257,265",4564,"$46,652,680",4561,6/7
2019,Pokemon Detective Pikachu,WB,"$144,105,346",4248,"$54,365,242",4202,5/10
2019,Shazam!,WB (NL),"$140,371,656",4306,"$53,505,326",4217,4/5
2019,Once Upon a Time in Hollywood,Sony,"$139,501,916",3659,"$41,082,018",3659,7/26
2019,Joker (2019),WB,"$137,728,787",4374,"$96,202,337",4374,10/4
2019,Dumbo (2019),BV,"$114,766,307",4259,"$45,990,748",4259,3/29
2019,Glass,Uni.,"$111,035,005",3844,"$40,328,920",3841,1/18
2019,Godzilla: King of the Monsters,WB,"$110,500,138",4108,"$47,776,293",4108,5/31
2019,The Upside,STX,"$108,252,517",3568,"$20,355,000",3080,1/11
2019,The LEGO Movie 2: The Second Part,WB,"$105,806,508",4303,"$34,115,335",4303,2/8
2019,Rocketman  ,Par.,"$96,368,160",3610,"$25,725,722",3610,5/31
2019,Hustlers,STX,"$94,165,339",3525,"$33,181,361",3250,9/13
2019,Alita: Battle Angel,Fox,"$85,710,210",3802,"$28,525,613",3790,2/14
2019,Good Boys,Uni.,"$82,414,810",3458,"$21,402,605",3204,8/16
2019,Men in Black International,Sony,"$80,001,807",4224,"$30,035,838",4224,6/14
2019,Downton Abbey,Focus,"$77,787,590",3548,"$31,033,665",3079,9/20
2019,Annabelle Comes Home,WB (NL),"$74,152,591",3613,"$20,269,723",3613,6/26
2019,Yesterday,Uni.,"$73,286,650",2755,"$17,010,050",2603,6/28
2019,Tyler Perry's A Madea Family Funeral,LGF,"$73,257,045",2442,"$27,062,332",2442,3/1
2019,Angel has Fallen,LGF,"$68,572,475",3336,"$21,380,987",3286,8/23
2019,Scary Stories to Tell in the Dark,LGF,"$67,676,254",3135,"$20,915,346",3135,8/9
2019,Dark Phoenix,Fox,"$65,845,974",3721,"$32,828,348",3721,6/7
2019,Dora and the Lost City of Gold,Par.,"$60,146,920",3735,"$17,431,588",3735,8/9
2019,Escape Room,Sony,"$57,005,601",2717,"$18,238,172",2717,1/4
2019,The Curse of La Llorona ,WB (NL),"$54,733,739",3372,"$26,347,631",3372,4/19
2019,Pet Sematary (2019),Par.,"$54,724,696",3585,"$24,502,775",3585,4/5
2019,What Men Want,Par.,"$54,611,903",2912,"$18,232,087",2912,2/8
2019,Isn't It Romantic,WB (NL),"$48,791,187",3444,"$14,247,758",3444,2/13
2019,Five Feet Apart,LGF,"$45,729,221",2866,"$13,190,286",2803,3/15
2019,Ma (2019),Uni.,"$45,373,120",2816,"$18,099,805",2808,5/31
